iter	Logloss
0	0.6581145045
1	0.6262402752
2	0.5994023913
3	0.5766864937
4	0.5576934409
5	0.5417309451
6	0.5271275521
7	0.5153212307
8	0.5044064192
9	0.4957394231
10	0.487371633
11	0.4801939848
12	0.473823082
13	0.468480696
14	0.4638416212
15	0.4597824004
16	0.4564454991
17	0.453380648
18	0.4511780248
19	0.4481304548
20	0.4458388908
21	0.4436085658
22	0.4417842025
23	0.4405263819
24	0.4392708771
25	0.43757046
26	0.4365122565
27	0.4351045732
28	0.4341150269
29	0.4333577927
30	0.4326592814
31	0.4317548779
32	0.4308957922
33	0.4304415262
34	0.4298489887
35	0.4290678218
36	0.4284107525
37	0.428034261
38	0.4277475771
39	0.4271278274
40	0.4265997431
41	0.4263090485
42	0.4258869598
43	0.4254334302
44	0.4251452366
45	0.4248176463
46	0.4245832862
47	0.4242835309
48	0.4240984598
49	0.4239240186
50	0.4237693821
51	0.4235901334
52	0.4234317364
53	0.4231515693
54	0.4230006734
55	0.4228292853
56	0.4226536815
57	0.4224932628
58	0.4223249002
59	0.4221822233
60	0.4220865915
61	0.4219359748
62	0.4218061116
63	0.4216791958
64	0.4214098082
65	0.4212708471
66	0.4211732745
67	0.4210525873
68	0.4208761218
69	0.4207722599
70	0.4206366108
71	0.4205419853
72	0.4204275203
73	0.4203477223
74	0.4202069466
75	0.4200420742
76	0.4199213568
77	0.4198618402
78	0.4197203522
79	0.4196155653
80	0.4195455062
81	0.4193945816
82	0.4193025568
83	0.419233214
84	0.4191309971
85	0.4190148741
86	0.4189178173
87	0.4188327115
88	0.4187364247
89	0.418632663
90	0.4185315634
91	0.4184295852
92	0.4183313346
93	0.4182721745
94	0.4181916099
95	0.4180899775
96	0.4180301076
97	0.4179748125
98	0.4179152151
99	0.4178659931
100	0.4178128786
101	0.4177699762
102	0.4177004437
103	0.4176084301
104	0.4175391989
105	0.417451397
106	0.4173891402
107	0.4173172495
108	0.4172424686
109	0.4171967491
110	0.4171350462
111	0.4170513666
112	0.4169917666
113	0.4169041265
114	0.4168004483
115	0.4167341887
116	0.4166695153
117	0.4165929045
118	0.4165443007
119	0.4164756624
120	0.4164009762
121	0.4163365503
122	0.416255507
123	0.4161974861
124	0.4161256378
125	0.4160472713
126	0.4160039114
127	0.415910083
128	0.4158347333
129	0.415750722
130	0.4156756378
131	0.4156028172
132	0.4155381575
133	0.4154537165
134	0.4154005704
135	0.4153493206
136	0.4152460484
137	0.4151726158
138	0.4151141586
139	0.4150552319
140	0.4149783751
141	0.4149158234
142	0.4148601584
143	0.4147941289
144	0.4147450748
145	0.4146854473
146	0.4146217732
147	0.4145489014
148	0.4144959348
149	0.4144280919
