iter	Passed	Remaining
0	25	3735
1	43	3193
2	58	2861
3	75	2744
4	91	2656
5	108	2593
6	121	2482
7	133	2373
8	149	2342
9	166	2327
10	189	2399
11	204	2353
12	219	2316
13	249	2419
14	264	2384
15	282	2363
16	300	2350
17	319	2344
18	337	2325
19	351	2281
20	364	2236
21	384	2238
22	396	2190
23	410	2154
24	426	2133
25	443	2116
26	459	2095
27	476	2074
28	493	2057
29	510	2041
30	555	2131
31	573	2113
32	593	2105
33	607	2071
34	624	2051
35	643	2038
36	658	2009
37	693	2043
38	713	2032
39	733	2016
40	751	1997
41	770	1981
42	787	1958
43	817	1968
44	845	1972
45	857	1938
46	873	1913
47	893	1899
48	910	1877
49	930	1861
50	945	1835
51	965	1819
52	982	1797
53	1002	1781
54	1020	1762
55	1035	1737
56	1054	1720
57	1069	1696
58	1083	1671
59	1101	1651
60	1117	1630
61	1139	1617
62	1156	1597
63	1173	1577
64	1193	1561
65	1210	1540
66	1227	1520
67	1247	1504
68	1263	1483
69	1278	1460
70	1296	1442
71	1312	1422
72	1340	1414
73	1360	1397
74	1381	1381
75	1407	1369
76	1429	1354
77	1441	1330
78	1461	1313
79	1478	1293
80	1496	1275
81	1512	1254
82	1527	1232
83	1550	1218
84	1567	1198
85	1586	1180
86	1609	1165
87	1627	1146
88	1641	1125
89	1657	1104
90	1673	1084
91	1689	1065
92	1739	1065
93	1754	1045
94	1784	1033
95	1801	1013
96	1826	997
97	1847	980
98	1864	960
99	1885	942
100	1904	923
101	1920	903
102	1938	884
103	1971	871
104	1986	851
105	2004	832
106	2027	814
107	2045	795
108	2056	773
109	2074	754
110	2094	735
111	2108	715
112	2120	694
113	2137	675
114	2159	657
115	2172	636
116	2187	617
117	2217	601
118	2243	584
119	2264	566
120	2290	548
121	2307	529
122	2321	509
123	2348	492
124	2362	472
125	2376	452
126	2392	433
127	2411	414
128	2430	395
129	2446	376
130	2464	357
131	2489	339
132	2504	320
133	2523	301
134	2543	282
135	2561	263
136	2580	244
137	2602	226
138	2621	207
139	2644	188
140	2670	170
141	2687	151
142	2703	132
143	2719	113
144	2738	94
145	2753	75
146	2766	56
147	2777	37
148	2792	18
149	2837	0
